Dataset,Seed,Alpha,L_RMSE,L_F1,L_AUPRC,L_RME_All,L_RME_Nz,E_RMSE,E_F1,E_AUPRC,E_RME_All,E_RME_Nz
Dataset_I,v6,0.01,0.29157334648256295,0.3157894736842105,0.6399999999999999,0.9474884989306956,0.9473875710169012,0.3116030733562167,0.3181818181818182,0.666111111111111,0.9421049039609717,0.9416343734080583
Dataset_I,v6,0.001,0.3368672022908781,0.2909090909090909,0.6628571428571428,0.9369750396944396,0.935489085236378,0.32839821622252574,0.2631578947368421,0.6574127400612969,0.9345676896986751,0.9329100459628515
Dataset_I,v7,10.0,0.48626637660938016,0.0,0.1,0.9999999999855662,0.9999999999855662,0.48626637660938016,0.0,0.1,0.9999999999855662,0.9999999999855662
Dataset_I,v7,1.0,0.48626637660938016,0.0,0.1,0.9999999999855662,0.9999999999855662,0.3711131158761662,0.5714285714285714,0.45999999999999996,0.9792138462842251,0.9792138462842251
Dataset_I,v7,0.1,0.2624623379836041,0.625,0.5499999999999999,0.9519035933779356,0.9519024639074097,0.26163307893871796,0.631578947368421,0.609047619047619,0.9484042740205262,0.9483732688545816
Dataset_I,v7,0.01,0.2647625640307057,0.45,0.7587203972498089,0.9274118112247681,0.926960999151015,0.23559097446231822,0.40816326530612246,0.8315384615384616,0.9192055178807517,0.9183509849272324
Dataset_I,v7,0.001,0.275235640956396,0.36363636363636365,0.7562880001498926,0.894207850535439,0.8926628600106677,0.33394519951106044,0.2597402597402597,0.5903978078658929,0.9300760061178411,0.9271197529543582
Dataset_I,v8,10.0,0.8352732787124179,0.0,0.1,0.9999999999855662,0.9999999999855662,0.8352732787124179,0.0,0.1,0.9999999999855662,0.9999999999855662
Dataset_I,v8,1.0,0.8352732787124179,0.0,0.1,0.9999999999855662,0.9999999999855662,0.5074694836596659,0.5714285714285714,0.45999999999999996,0.9784431001086211,0.9784431001086211
Dataset_I,v8,0.1,0.15666993974482182,0.625,0.5499999999999999,0.9483112549682482,0.948311173990228,0.12966785979483855,0.5217391304347826,0.5861538461538461,0.9471767268938095,0.9471325594604989
Dataset_I,v8,0.01,0.13759922674894012,0.4444444444444444,0.7474999999999999,0.9221023745726944,0.92195628313203,0.14667418411073874,0.3404255319148936,0.7999999999999999,0.9128559063208056,0.9125986337428929
Dataset_I,v8,0.001,0.15921125739938835,0.32142857142857145,0.8588888888888889,0.8836046796000885,0.8828981902584526,0.24733716800053002,0.25316455696202533,0.48716890264877877,0.9370112840400628,0.9339920391795157
Dataset_I,v9,10.0,1.0209289555833034,0.0,0.1,0.9999999999855662,0.9999999999855662,1.0209289555833034,0.0,0.1,0.9999999999855662,0.9999999999855662
Dataset_I,v9,1.0,1.0209289555833034,0.0,0.1,0.9999999999855662,0.9999999999855662,0.5887224541284586,0.5714285714285714,0.45999999999999996,0.9786684954322166,0.9786684954322166
